uid,eid,rid,id,title,stime,creator_company,creator_occupation,sign,creator_uname,browsecount,crawler_time
1302758,10049264,0,87639,浙商电新 | 海兴电力（603556）2021年报&22Q1业绩交流会,2022-05-05 16:00:01,浙商证券股份有限公司,研究所所长,聚焦成长 价值发现,浙商证券研究所,70,2022-05-05 16:23:33
1265844,10047621,0,85920,国信交运 | 顺丰控股一季报及经营近况交流,2022-05-05 16:00:00,国信证券研究所,,同心同行,国信证券经济研究所,165,2022-05-05 16:23:33
1356360,10049335,0,87715,兴证海外 | 美团社区团购交流（二）,2022-05-05 16:00:00,兴业证券,研究所,稳健规范、长远发展,兴业证券经济与金融研究院,209,2022-05-05 16:23:33
1265844,10049053,0,87414,国信中小盘 | 宏华数科2022年一季报业绩交流,2022-05-05 16:00:00,国信证券研究所,,同心同行,国信证券经济研究所,81,2022-05-05 16:23:33
1234513,10049224,0,87594,长江大化工 | 亚钾国际一季报交流,2022-05-05 16:00:00,长江证券,基础化工首席分析师,长江证券化工首席分析师,马太,109,2022-05-05 16:23:33
1448012,10048930,0,87275,华鑫医药 | 特一药业近期进展交流,2022-05-05 16:00:00,华鑫证券,,诚信、专业、稳健、高效,华鑫证券研究所,29,2022-05-05 16:23:33
1448012,10048942,0,87287,华鑫食饮 | 盐津铺子近期进展交流,2022-05-05 16:00:00,华鑫证券,,诚信、专业、稳健、高效,华鑫证券研究所,44,2022-05-05 16:23:33
1236157,10049101,0,87459,中泰家电&科技消费｜石头科技一季报小范围交流,2022-05-05 16:00:00,中泰证券,研究所,专业·领先·深度·诚信,中泰证券研究所,131,2022-05-05 16:23:33
1154678,10049327,0,87706,天风基础化工  | 奥来德一季报交流会,2022-05-05 16:00:00,天风证券,天风证券研究所,致力做最好的投研服务,天风证券研究所,18,2022-05-05 16:23:33
1534239,10048501,0,86825,中信证券 | 杰普特2022一季报业绩交流,2022-05-05 16:00:00,中信证券,中信证券研究所,激情、创新、整合、卓越,中信证券研究部,50,2022-05-05 16:23:33
1173009,10049333,0,87712,申万宏源化工 | 昊华科技2022年一季报电话会,2022-05-05 16:00:00,申万宏源证券机构事业部,@sws,唯实求新 厚德笃行,申万宏源证券研究所,26,2022-05-05 16:23:33
1174104,10048631,0,86968,申万宏源纺服 | 星期六2021年报及22年一季报业绩交流,2022-05-05 16:00:00,申万宏源,首席分析师,申万宏源首席分析师,王立平,93,2022-05-05 16:23:33
1231140,10049279,0,87655,方正新兴产业 | 雄帝科技年报/一季报业绩交流会,2022-05-05 16:00:00,方正证券,方正证券研究所,正在你身边,方正证券研究所,15,2022-05-05 16:23:33
1211641,10049136,0,87494,东北证券｜东软集团年报&Q1财报解读电话会议,2022-05-05 16:00:00,东北证券,东北证券,相融相通 互琢玉成,东北证券研究所,22,2022-05-05 16:23:33
1231140,10049282,0,87658,方正新兴产业 | 伊顿电子一季报业绩交流会,2022-05-05 16:00:00,方正证券,方正证券研究所,正在你身边,方正证券研究所,15,2022-05-05 16:23:33
1534239,10046175,0,84405,中信证券 | 中航电子2022年一季报业绩交流,2022-05-05 16:00:00,中信证券,中信证券研究所,激情、创新、整合、卓越,中信证券研究部,119,2022-05-05 16:23:33
1236157,10048592,0,86926,中泰化工 | 中国海油一季报电话会,2022-05-05 16:00:00,中泰证券,研究所,专业·领先·深度·诚信,中泰证券研究所,91,2022-05-05 16:23:33
1769634,10048399,0,86722,中金公司 | 新炬网络2021年报与2022年一季报业绩交流会,2022-05-05 16:00:00,中国国际金融股份有限公司,研究部,以人为本 以国为怀 勤奋专业 客户至上,中金研究部&股票业务部,73,2022-05-05 16:23:33
1769634,10047841,0,86146,中金交运 | 中远海能1Q22业绩交流电话会,2022-05-05 16:00:00,中国国际金融股份有限公司,研究部,以人为本 以国为怀 勤奋专业 客户至上,中金研究部&股票业务部,210,2022-05-05 16:23:33
1534239,10048869,0,87211,中信证券 | 昌红科技2021年年报及2022年一季报业绩说明会​​,2022-05-05 15:30:00,中信证券,中信证券研究所,激情、创新、整合、卓越,中信证券研究部,143,2022-05-05 16:23:33
1331015,10047489,0,85785,光大证券 | 新华医疗（600587.SH）年报及一季报解读电话会议,2022-05-05 15:30:00,光大证券,研究所,含弘光大，品物咸亨,光大证券研究所,167,2022-05-05 16:23:36
1356360,10049214,0,87583,兴证通信 | 乐鑫科技一季报交流,2022-05-05 15:30:00,兴业证券,研究所,稳健规范、长远发展,兴业证券经济与金融研究院,302,2022-05-05 16:23:36
1448012,10048925,0,87270,华鑫传媒 | 风语筑近期进展交流,2022-05-05 15:30:00,华鑫证券,,诚信、专业、稳健、高效,华鑫证券研究所,120,2022-05-05 16:23:36
1756936,10046921,0,85170,三七互娱（002555）2021年度暨2022年第一季度业绩交流会,2022-05-05 15:30:00,,,玩心创造世界,三七互娱,1038,2022-05-05 16:23:36
1780291,10046422,0,84659,招商证券 | 巨星农牧2022年一季报业绩交流会,2022-05-05 15:30:00,招商证券,招商证券农林牧渔首席,这个人很懒，什么都没留下,熊承慧,137,2022-05-05 16:23:36
2720638,10048018,0,86326,菲利华(300395)2021年报及2022一季报业绩交流会,2022-05-05 15:30:00,,,专注 诚信 创新 进取,菲利华,498,2022-05-05 16:23:36
1160797,10048596,0,86930,海通电新 | 欧洲光伏组件&储能专家交流,2022-05-05 15:00:00,,,海通电新,海通电新张一弛,607,2022-05-05 16:23:36
1952478,10046842,0,85091,石基信息（002153）2021年度投资者线上交流会,2022-05-05 15:00:00,,,中国酒店信息系统专业服务的领导者,石基信息,355,2022-05-05 16:23:36
2668934,10047421,0,85714,山证医药｜立方制药（003020）年报及一季报交流会,2022-04-29 15:30:00,山西证券股份有限公司,运营,专业服务，创造价值,山西证券研究所,327,2022-05-05 16:23:36
1412725,10047435,0,85728,中信建投 | 春立医疗（01858.HK/688236）2022年一季报业绩交流电话会,2022-04-29 10:00:00,中信建投证券,医药行业首席分析师,中信建投证券医药行业首席分析师,贺菊颖,290,2022-05-05 16:23:36
1317175,10048274,0,86589,国君通信 | 和而泰一季报业绩交流会,2022-04-29 09:30:00,国泰君安证券,研究所,引领金融服务 共悦财富人生,国泰君安证券研究所,238,2022-05-05 16:23:36
1604665,10048128,0,86441,信达化工 | 山东赫达2021年报暨2022年一季报解读,2022-04-29 09:00:00,信达证券,,崇德精业，诚信为本，规范经营，创新发展,信达证券研发中心,115,2022-05-05 16:23:36
1214443,10047466,0,85762,东吴电新 | 福莱特2022Q1业绩交流电话会,2022-04-27 19:00:00,东吴证券,电新首席分析师,东吴电新首席分析师,曾朵红,969,2022-05-05 16:23:36
1302758,10047968,0,86276,浙商电新 | 东方日升（300118）2021年报&2022一季报业绩交流会,2022-04-27 19:00:00,浙商证券股份有限公司,研究所所长,聚焦成长 价值发现,浙商证券研究所,589,2022-05-05 16:23:36
1231553,10005644,0,79919,长江电新 | 追光系列第47期：德业股份一季度业绩预增解读,2022-03-28 08:30:00,长江证券,电新行业组长,长江证券电新行业组长,马军,756,2022-05-05 16:23:36
1258885,10021552,0,56884,长江地产 | 大悦城商业领导交流,2021-09-02 09:00:00,长江证券,地产团队负责人,长江证券 地产团队 负责人,刘义,196,2022-05-05 16:23:36
1317175,10046512,0,84752,国君高端装备｜怡合达（301029）2021年年报及经营近况解读电话会,2022-05-05 16:30:00,国泰君安证券,研究所,引领金融服务 共悦财富人生,国泰君安证券研究所,60,2022-05-05 16:23:36
2320591,10046469,0,84707,赛意信息（300687）2021年度报告业绩交流会,2022-05-05 16:30:00,,,超越，本应如此！,赛意信息,147,2022-05-05 16:23:36
1182351,10048183,0,86497,浙商交运建筑 | 青岛港2022年一季报业绩交流会,2022-05-05 16:30:00,浙商证券,交运建筑首席分析师,浙商证券研究所交运建筑首席分析师，2021年金麒麟新锐第一、新财富入围；2019年水晶球第一、新财富入围。,匡培钦@浙商交运建筑首席,24,2022-05-05 16:23:36
1180976,10049190,0,87558,海通证券 | 交运团队 华夏航空电话会议,2022-05-05 16:30:00,海通证券,海通证券研究所,海纳百川 通向辉煌,海通证券研究所,21,2022-05-05 16:23:36
1614390,10049324,0,87703,民生军工 | 中航重机一季报及全年展望交流,2022-05-05 16:30:00,民生证券研究所,,民生在勤 守正出新,民生证券研究院,35,2022-05-05 16:23:39
1356360,10046868,0,85117,兴证建筑 | 2022年春季线上策略会 - 苏文电能近况交流,2022-05-05 16:30:00,兴业证券,研究所,稳健规范、长远发展,兴业证券经济与金融研究院,48,2022-05-05 16:23:39
