,0
9406,'一创证券
6398,'丁一财通证券
11945,'丁俊中信证券股份有限公司
13390,'丁健财通证券
16679,'丁奇川财证券
9178,'丁宁太平洋证券股份有限公司
14534,'丁宁金元证券股份有限公司
7641,'丁山元大证券
4784,'丁峰平安证券有限责任公司
7384,'丁振航天证券有限责任公司
11438,'丁文韬安信证券股份有限公司
16633,'丁星乐东方证券股份有限公司
9060,'丁晓东方证券股份有限公司
15405,'丁洋海通证券股份有限公司
12951,'丁浙川华泰证券资产管理权益投资部
11656,'丁浙川安信证券
12999,'丁理昂横华国际证券有限公司
11798,'丁肖逸光大证券研究所
10805,'丁诚民生证券
8652,'丁辰晖东方证券股份有限公司
8564,'丁鑫光大证券资产管理有限公司
452,'丁靖斐招商证券股份有限公司
1443,'万东方证券余李平交银施罗德基金管理有限公司齐欢东北证券童昱交银理财有限责任公司郭梦捷东北证券王麟锴建信基金管理有限责任公司
8305,'万东方证券资产管理有限公司
842,'万东海通证券
11649,'万丰友方张伟中信证金高通深圳万杉资本曾宇鹏华基金胡颖中信证券
9959,'万义麟光大证券权益投资交易部
8575,'万义麟广发证券资产管理广东有限公司
6513,'万义麟长城证券
10927,'万利民国信证券
12931,'万力东方证券
4911,'万和证券
12152,'万和证券有限公司
5061,'万和证券有限责任公司
14214,'万和证券有限责任公司国金证券股份有限公司淡水泉北京投资管理有限公司
8648,'万和证券股份有限公司
17074,'万和证券股份有限公司创金合信基金管理有限公司
1683,'万和证券自营部
11096,'万国证券
23,'万宁国信证券
15426,'万宏源证券
7896,'万宏源证券有限公司
6749,'万定山招商证券
3498,'万定山西部证券股份有限公司
14899,'万定山银华基金甘孟欣华融证券
14258,'万家基金安信证券
936,'万家基金管理有限公司国海证券股份有限公司
4036,'万家基金管理有限公司财通证券资产管理有限公司
14133,'万小二天风证券
8548,'万年证券
13520,'万广博中山证券
1103,'万广博海通证券
16005,'万意利得金融艾健华鑫证券黄彦国贸东方资本
6800,'万意华鑫证券
16992,'万振兴业证券
1824,'万方方中国中投证券有限责任公司
14863,'万方方中泰证券
5137,'万方方国海证券
1833,'万明亮中信建投证券高君中融基金甘传奇征金资本唐爽爽新华基金吴凡深圳云天志基金
13133,'万明亮国信证券
15377,'万毅广发证券
4472,'万永涛国盛证券研究所
16417,'万海证券
6426,'万炜上海证券有限责任公司
12857,'万炜中信建投证券股份有限公司
2068,'万炜九州证券
13605,'万申银万国证券股份有限公司
1091,'万联证券
3916,'万联证券东莞营业部
12837,'万联证券中银国际证券万和证券有限责任公司华西证券华融证券金元证券股份有限公司
3549,'万联证券匡
1526,'万联证券国金基金管理有限公司
14084,'万联证券有限公司
1543,'万联证券有限责任公司
10986,'万联证券有限责任公司投资管理部
15821,'万联证券有限责任公司研究所
8094,'万联证券研究所
15648,'万联证券翁慈贝日盛证券
9480,'万联证券股份有限公司
8357,'万联证券股份有限公司张士伟文威投资管理有限公司董江南西部证券
1812,'万联证券股份有限公司资管投资部
12905,'万联证券股份有限公司长城证券股份有限公司
16313,'万联证券资产
10786,'万联证券资产管理部
4210,'万联证券资产管理部天安人寿保险股份有限公司上投摩根基金管理有限公司长城基金管理有限公司锐天投资管理有限公司才华资本管理有限公司鹏扬基金投研部海通证券股份有限公司高斯资产管理有限公司
3312,'万联证券资产管理部黄鹏瑞民投资管理有限公司
9716,'万联证券资管部
1931,'万联证券部
1622,'万联证券黄超每利投资基金管理北京有限公司
7420,'万莉东北证券股份有限公司
9963,'万莉中信证券
9165,'万菱信汤一枝国盛证券黄诗涛天风资管任贇喆凯石基金赵晨凯东亚前海葛山太平资产王振州汇利资产张运昌长城财富胡纪元诚盛投资吴畏华夏基金陆晓天深圳金泊陈佳琦华安基金苏绪盛浦银安盛朱胜波工银瑞信
17037,'万菱证券
2617,'万载天赐泰成投资雷晓光中投证券财富管理部
5688,'万里扬广发证券股份有限公司
16083,'万里明国信证券
10615,'万阳松中德证券有限责任公司
13940,'万阳松金元证券
6151,'万雪飞英大证券有限责任公司
4869,'万非非中国民族证券有限责任公司
6652,'万鹏程海通证券
6046,'万黎国联证券股份有限公司投资经理贺喆华宝兴业基金管理有限公司基金经理助理肖扬华宝兴业基金管理有限公司
938,'三井住友资产管理公司润晖投资睿远基金瑞银证券广东瑞天投资管理有限公司
8742,'三国泰君安证券芜湖营业部
14180,'三峡资本控股有限责任公司证券投资部
14040,'三星证券
4238,'三星资产运用香港有限公司摩根大通证券股份有限公司
13172,'三江资本吴松贝东方证券
8104,'三理投资研究员戴元灿海通证券
6461,'三菱日联摩根士丹利证券
9698,'三菱日联摩根士丹利证券机构投资营业部
4624,'三菱日联摩根士丹利证券株式会社
