,date,name,SecuCode,SecuCategory,ListedState
15804142,2020-02-10 00:00:00,万东医疗,600055,1.0,1.0
16006774,2020-07-15 00:00:00,万年青,,,
1014261,2020/5/25-29,万润股份,002643,1.0,1.0
6081364,2020-11-05 00:00:00,万达电影,002739,1.0,1.0
15804143,2020-05-27 00:00:00,三一重工,600031,1.0,1.0
15804145,2020-02-11 00:00:00,上峰水泥,000672,1.0,1.0
2837246,2020/11/3-10,上汽集团,600104,1.0,1.0
15804146,2020-02-14 00:00:00,上海建工,600170,1.0,1.0
6081365,2020/7/22-23,上海建工,600170,1.0,1.0
16007968,2020-03-26 00:00:00,东南网架,002135,1.0,1.0
6087382,2020/6/1-5,东方日升,300118,1.0,1.0
16007867,2020-07-15 00:00:00,东方时尚,603377,1.0,1.0
6087384,2020/6/1-5,东方电缆,603606,1.0,1.0
15804152,2020-02-12 00:00:00,东方雨虹,002271,1.0,1.0
16006841,2019-08-15 00:00:00,东方雨虹,002271,1.0,1.0
6087389,2019-03-04 00:00:00,东方雨虹,002271,1.0,1.0
15804153,2020-02-19 00:00:00,东珠生态 ,,,
15804154,2020-02-14 00:00:00,东阳光药,,,
6082829,2020/6/1-4,中信出版,300788,1.0,1.0
15804155,2020-02-14 00:00:00,中国中铁,601390,1.0,1.0
15804192,2020-02-12 00:00:00,中国交建,601800,1.0,1.0
15804193,2020-04-01 00:00:00,中国人保,601319,1.0,1.0
4258284,2020-01-14 00:00:00,中国人寿,601628,1.0,1.0
15804194,2020-04-07 00:00:00,中国人寿,601628,1.0,1.0
15804200,2020-02-20 00:00:00,中国卫通,601698,1.0,1.0
15804201,2020-02-17 00:00:00,中国铁建,601186,1.0,1.0
15804242,2020-03-11 00:00:00,中天科技,600522,1.0,1.0
15804243,2020-02-16 00:00:00,中来股份,300393,1.0,1.0
15804244,2020-03-06 00:00:00,中航机电,002013,1.0,1.0
15804246,2020-02-25 00:00:00,中航电测,300114,1.0,1.0
15804247,2020-02-25 00:00:00,中航飞机,,,
15804248,2020-02-10 00:00:00,中装建设,002822,1.0,1.0
4664360,2020-01-13 00:00:00,中设集团,,,
15804250,2020/10/27,中设集团,,,
15804249,2020-02-14 00:00:00,中设集团,,,
15804251,2020-02-12 00:00:00,中远海控,601919,1.0,1.0
15804252,2020-02-13 00:00:00,中远海能,600026,1.0,1.0
