,id,stock_code,stock_name,industry_code,industry_name,industry_level,standard_code,standard_name,into_date,out_date,use_status,entrytime,updatetime,tmstamp
0,66,002177,御银股份,801750,计算机,1,464,申银万国一级行业,2014-01-01 00:00:00.000,,1,2017-08-24 13:33:45.580,2017-08-24 13:33:45.580,317553082
1,67,002362,汉王科技,801750,计算机,1,464,申银万国一级行业,2014-01-01 00:00:00.000,,1,2017-08-24 13:33:45.580,2017-08-24 13:33:45.580,317553083
2,68,300229,拓尔思,801750,计算机,1,464,申银万国一级行业,2014-01-01 00:00:00.000,,1,2017-08-24 13:33:45.580,2017-08-24 13:33:45.580,317553084
3,69,300245,天玑科技,801750,计算机,1,464,申银万国一级行业,2014-01-01 00:00:00.000,,1,2017-08-24 13:33:45.580,2017-08-24 13:33:45.580,317553085
4,70,300271,华宇软件,801750,计算机,1,464,申银万国一级行业,2014-01-01 00:00:00.000,,1,2017-08-24 13:33:45.580,2017-08-24 13:33:45.580,317553086
5,71,300380,安硕信息,801750,计算机,1,464,申银万国一级行业,2014-01-28 00:00:00.000,,1,2017-08-24 13:33:45.580,2017-08-24 13:33:45.580,317553087
6,74,601928,凤凰传媒,801760,传媒,1,464,申银万国一级行业,2014-01-01 00:00:00.000,,1,2017-08-24 13:33:45.580,2017-08-24 13:33:45.580,317553090
7,83,000032,深桑达A,801770,通信,1,464,申银万国一级行业,2014-01-01 00:00:00.000,,1,2017-08-24 13:33:45.580,2017-08-24 13:33:45.580,317553097
8,87,603602,纵横通信,801770,通信,1,464,申银万国一级行业,2017-08-10 00:00:00.000,,1,2017-08-24 13:33:45.580,2017-08-24 13:33:45.580,317553101
9,88,000776,广发证券,801790,非银金融,1,464,申银万国一级行业,2014-01-01 00:00:00.000,,1,2017-08-24 13:33:45.580,2017-08-24 13:33:45.580,317553102
10,89,601901,方正证券,801790,非银金融,1,464,申银万国一级行业,2014-01-01 00:00:00.000,,1,2017-08-24 13:33:45.580,2017-08-24 13:33:45.580,317554643
11,90,601881,中国银河,801790,非银金融,1,464,申银万国一级行业,2017-01-23 00:00:00.000,,1,2017-08-24 13:33:45.580,2017-08-24 13:33:45.580,317554644
12,91,601878,浙商证券,801790,非银金融,1,464,申银万国一级行业,2017-06-26 00:00:00.000,,1,2017-08-24 13:33:45.580,2017-08-24 13:33:45.580,317554645
13,92,002265,西仪股份,801880,汽车,1,464,申银万国一级行业,2014-01-01 00:00:00.000,,1,2017-08-24 13:33:45.580,2017-08-24 13:33:45.580,317554646
14,93,002592,ST八菱,801880,汽车,1,464,申银万国一级行业,2014-01-01 00:00:00.000,,1,2017-08-24 13:33:45.580,2020-07-15 16:51:32.323,975707264
15,94,600104,上汽集团,801880,汽车,1,464,申银万国一级行业,2014-01-01 00:00:00.000,,1,2017-08-24 13:33:45.580,2017-08-24 13:33:45.580,317554648
16,97,603997,继峰股份,801880,汽车,1,464,申银万国一级行业,2015-03-02 00:00:00.000,,1,2017-08-24 13:33:45.580,2017-08-24 13:33:45.580,317554651
17,98,000996,中国中期,801880,汽车,1,464,申银万国一级行业,2015-07-01 00:00:00.000,,1,2017-08-24 13:33:45.580,2017-08-24 13:33:45.580,317554652
18,100,603089,正裕工业,801880,汽车,1,464,申银万国一级行业,2017-01-26 00:00:00.000,,1,2017-08-24 13:33:45.580,2017-08-24 13:33:45.580,317554654
19,103,000821,京山轻机,801890,机械设备,1,464,申银万国一级行业,2014-01-01 00:00:00.000,,1,2017-08-24 13:33:45.580,2017-08-24 13:33:45.580,317554657
20,104,002520,日发精机,801890,机械设备,1,464,申银万国一级行业,2014-01-01 00:00:00.000,,1,2017-08-24 13:33:45.580,2017-08-24 13:33:45.580,317554658
21,105,300091,金通灵,801890,机械设备,1,464,申银万国一级行业,2014-01-01 00:00:00.000,,1,2017-08-24 13:33:45.580,2017-08-24 13:33:45.580,317554659
22,107,600031,三一重工,801890,机械设备,1,464,申银万国一级行业,2014-01-01 00:00:00.000,,1,2017-08-24 13:33:45.580,2017-08-24 13:33:45.580,317554661
