,stock_code,stock_name,list_date,delist_date,ticker
0,000001.SZ,平安银行,1991-04-03,1900-01-01,000001
1,000002.SZ,万科A,1991-01-29,1900-01-01,000002
2,000003.SZ,PT金田A,1991-07-03,2002-06-14,000003
3,000004.SZ,国华网安,1991-01-14,1900-01-01,000004
4,000005.SZ,ST星源,1990-12-10,1900-01-01,000005
5,000006.SZ,深振业A,1992-04-27,1900-01-01,000006
6,000007.SZ,*ST全新,1992-04-13,1900-01-01,000007
7,000008.SZ,神州高铁,1992-05-07,1900-01-01,000008
8,000009.SZ,中国宝安,1991-06-25,1900-01-01,000009
9,000010.SZ,美丽生态,1995-10-27,1900-01-01,000010
10,000011.SZ,深物业A,1992-03-30,1900-01-01,000011
11,000012.SZ,南玻A,1992-02-28,1900-01-01,000012
12,000013.SZ,*ST石化A,1992-05-06,2004-09-20,000013
13,000014.SZ,沙河股份,1992-06-02,1900-01-01,000014
14,000015.SZ,PT中浩A,1992-06-25,2001-10-22,000015
15,000016.SZ,深康佳A,1992-03-27,1900-01-01,000016
16,000017.SZ,深中华A,1992-03-31,1900-01-01,000017
17,000018.SZ,神城A退,1992-06-16,2020-01-07,000018
18,000019.SZ,深粮控股,1992-10-12,1900-01-01,000019
19,000020.SZ,深华发A,1992-04-28,1900-01-01,000020
20,000021.SZ,深科技,1994-02-02,1900-01-01,000021
21,000022.SZ,深赤湾A,1993-05-05,2018-12-26,000022
22,000023.SZ,深天地A,1993-04-29,1900-01-01,000023
23,000024.SZ,招商地产,1993-06-07,2015-12-30,000024
24,000025.SZ,特力A,1993-06-21,1900-01-01,000025
25,000026.SZ,飞亚达,1993-06-03,1900-01-01,000026
26,000027.SZ,深圳能源,1993-09-03,1900-01-01,000027
27,000028.SZ,国药一致,1993-08-09,1900-01-01,000028
28,000029.SZ,深深房A,1993-09-15,1900-01-01,000029
29,000030.SZ,富奥股份,1993-09-29,1900-01-01,000030
30,000031.SZ,大悦城,1993-10-08,1900-01-01,000031
31,000032.SZ,深桑达A,1993-10-28,1900-01-01,000032
32,000033.SZ,新都退,1994-01-03,2017-07-07,000033
33,000034.SZ,神州数码,1994-05-09,1900-01-01,000034
34,000035.SZ,中国天楹,1994-04-08,1900-01-01,000035
35,000036.SZ,华联控股,1994-06-17,1900-01-01,000036
36,000037.SZ,深南电A,1994-07-01,1900-01-01,000037
37,000038.SZ,深大通,1994-08-08,1900-01-01,000038
38,000039.SZ,中集集团,1994-04-08,1900-01-01,000039
39,000040.SZ,东旭蓝天,1994-08-08,1900-01-01,000040
40,000042.SZ,中洲控股,1994-09-21,1900-01-01,000042
41,000043.SZ,中航善达,1994-09-28,2019-12-16,000043
42,000045.SZ,深纺织A,1994-08-15,1900-01-01,000045
43,000046.SZ,泛海控股,1994-09-12,1900-01-01,000046
44,000047.SZ,ST中侨,1994-10-21,2003-05-30,000047
45,000048.SZ,京基智农,1994-11-01,1900-01-01,000048
46,000049.SZ,德赛电池,1995-03-20,1900-01-01,000049
47,000050.SZ,深天马A,1995-03-15,1900-01-01,000050
48,000055.SZ,方大集团,1996-04-15,1900-01-01,000055
49,000056.SZ,皇庭国际,1996-07-08,1900-01-01,000056
50,000058.SZ,深赛格,1996-12-26,1900-01-01,000058
51,000059.SZ,华锦股份,1997-01-30,1900-01-01,000059
52,000060.SZ,中金岭南,1997-01-23,1900-01-01,000060
53,000061.SZ,农产品,1997-01-10,1900-01-01,000061
54,000062.SZ,深圳华强,1997-01-30,1900-01-01,000062
55,000063.SZ,中兴通讯,1997-11-18,1900-01-01,000063
56,000065.SZ,北方国际,1998-06-05,1900-01-01,000065
57,000066.SZ,中国长城,1997-06-26,1900-01-01,000066
58,000068.SZ,华控赛格,1997-06-11,1900-01-01,000068
59,000069.SZ,华侨城A,1997-09-10,1900-01-01,000069
60,000070.SZ,特发信息,2000-05-11,1900-01-01,000070
61,000078.SZ,海王生物,1998-12-18,1900-01-01,000078
62,000088.SZ,盐田港,1997-07-28,1900-01-01,000088
63,000089.SZ,深圳机场,1998-04-20,1900-01-01,000089
64,000090.SZ,天健集团,1999-07-21,1900-01-01,000090
65,000096.SZ,广聚能源,2000-07-24,1900-01-01,000096
66,000099.SZ,中信海直,2000-07-31,1900-01-01,000099
67,000100.SZ,TCL科技,2004-01-30,1900-01-01,000100
68,000150.SZ,宜华健康,2000-08-07,1900-01-01,000150
69,000151.SZ,中成股份,2000-09-06,1900-01-01,000151
70,000153.SZ,丰原药业,2000-09-20,1900-01-01,000153
71,000155.SZ,川能动力,2000-09-26,1900-01-01,000155
72,000156.SZ,华数传媒,2000-09-06,1900-01-01,000156
73,000157.SZ,中联重科,2000-10-12,1900-01-01,000157
74,000158.SZ,常山北明,2000-07-24,1900-01-01,000158
75,000159.SZ,国际实业,2000-09-26,1900-01-01,000159
76,000166.SZ,申万宏源,2015-01-26,1900-01-01,000166
77,000301.SZ,东方盛虹,2000-05-29,1900-01-01,000301
78,000333.SZ,美的集团,2013-09-18,1900-01-01,000333
79,000338.SZ,潍柴动力,2007-04-30,1900-01-01,000338
80,000400.SZ,许继电气,1997-04-18,1900-01-01,000400
81,000401.SZ,冀东水泥,1996-06-14,1900-01-01,000401
82,000402.SZ,金融街,1996-06-26,1900-01-01,000402
83,000403.SZ,派林生物,1996-06-28,1900-01-01,000403
84,000404.SZ,长虹华意,1996-06-19,1900-01-01,000404
85,000405.SZ,ST鑫光,1996-06-20,2004-03-19,000405
86,000406.SZ,石油大明,1996-06-28,2006-04-21,000406
87,000407.SZ,胜利股份,1996-07-03,1900-01-01,000407
88,000408.SZ,藏格矿业,1996-06-28,1900-01-01,000408
89,000409.SZ,云鼎科技,1996-06-27,1900-01-01,000409
90,000410.SZ,ST沈机,1996-07-18,1900-01-01,000410
91,000411.SZ,英特集团,1996-07-16,1900-01-01,000411
92,000412.SZ,ST五环,1996-07-15,2003-09-19,000412
93,000413.SZ,东旭光电,1996-09-25,1900-01-01,000413
94,000415.SZ,渤海租赁,1996-07-16,1900-01-01,000415
95,000416.SZ,民生控股,1996-07-19,1900-01-01,000416
96,000417.SZ,合肥百货,1996-08-12,1900-01-01,000417
97,000418.SZ,小天鹅A,1997-03-28,2019-06-21,000418
98,000419.SZ,通程控股,1996-08-16,1900-01-01,000419
99,000420.SZ,吉林化纤,1996-08-02,1900-01-01,000420
100,000421.SZ,南京公用,1996-08-06,1900-01-01,000421
101,000422.SZ,湖北宜化,1996-08-15,1900-01-01,000422
102,000423.SZ,东阿阿胶,1996-07-29,1900-01-01,000423
103,000425.SZ,徐工机械,1996-08-28,1900-01-01,000425
104,000426.SZ,兴业矿业,1996-08-28,1900-01-01,000426
105,000428.SZ,华天酒店,1996-08-08,1900-01-01,000428
106,000429.SZ,粤高速A,1998-02-20,1900-01-01,000429
107,000430.SZ,张家界,1996-08-29,1900-01-01,000430
108,000488.SZ,晨鸣纸业,2000-11-20,1900-01-01,000488
109,000498.SZ,山东路桥,1997-06-09,1900-01-01,000498
110,000501.SZ,鄂武商A,1992-11-20,1900-01-01,000501
111,000502.SZ,*ST绿景,1992-11-23,1900-01-01,000502
112,000503.SZ,国新健康,1992-11-30,1900-01-01,000503
113,000504.SZ,南华生物,1992-12-08,1900-01-01,000504
114,000505.SZ,京粮控股,1992-12-21,1900-01-01,000505
115,000506.SZ,中润资源,1993-03-12,1900-01-01,000506
116,000507.SZ,珠海港,1993-03-26,1900-01-01,000507
117,000508.SZ,琼民源A,1993-04-30,1999-07-12,000508
118,000509.SZ,*ST华塑,1993-05-07,1900-01-01,000509
119,000510.SZ,新金路,1993-05-07,1900-01-01,000510
120,000511.SZ,烯碳退,1993-05-18,2018-07-18,000511
121,000513.SZ,丽珠集团,1993-10-28,1900-01-01,000513
122,000514.SZ,渝开发,1993-07-12,1900-01-01,000514
123,000515.SZ,攀渝钛业,1993-07-12,2009-05-06,000515
124,000516.SZ,ST国医,1993-08-09,1900-01-01,000516
125,000517.SZ,荣安地产,1993-08-06,1900-01-01,000517
126,000518.SZ,四环生物,1993-09-08,1900-01-01,000518
127,000519.SZ,中兵红箭,1993-10-08,1900-01-01,000519
128,000520.SZ,长航凤凰,1993-10-25,1900-01-01,000520
129,000521.SZ,长虹美菱,1993-10-18,1900-01-01,000521
130,000522.SZ,白云山A,1993-11-08,2013-04-26,000522
131,000523.SZ,*ST浪奇,1993-11-08,1900-01-01,000523
132,000524.SZ,岭南控股,1993-11-18,1900-01-01,000524
133,000525.SZ,ST红太阳,1993-10-28,1900-01-01,000525
134,000526.SZ,学大教育,1993-11-01,1900-01-01,000526
135,000527.SZ,美的电器,1993-11-12,2013-09-18,000527
136,000528.SZ,柳工,1993-11-18,1900-01-01,000528
137,000529.SZ,广弘控股,1993-11-18,1900-01-01,000529
138,000530.SZ,冰山冷热,1993-12-08,1900-01-01,000530
139,000531.SZ,穗恒运A,1994-01-06,1900-01-01,000531
140,000532.SZ,华金资本,1994-01-03,1900-01-01,000532
141,000533.SZ,顺钠股份,1994-01-03,1900-01-01,000533
142,000534.SZ,万泽股份,1994-01-10,1900-01-01,000534
143,000535.SZ,*ST猴王,1993-11-30,2005-09-21,000535
144,000536.SZ,华映科技,1993-11-26,1900-01-01,000536
145,000537.SZ,广宇发展,1993-12-10,1900-01-01,000537
146,000538.SZ,云南白药,1993-12-15,1900-01-01,000538
147,000539.SZ,粤电力A,1993-11-26,1900-01-01,000539
148,000540.SZ,中天金融,1994-02-02,1900-01-01,000540
149,000541.SZ,佛山照明,1993-11-23,1900-01-01,000541
150,000542.SZ,TCL通讯,1993-12-01,2004-01-13,000542
151,000543.SZ,皖能电力,1993-12-20,1900-01-01,000543
152,000544.SZ,中原环保,1993-12-08,1900-01-01,000544
153,000545.SZ,金浦钛业,1993-12-15,1900-01-01,000545
154,000546.SZ,金圆股份,1993-12-15,1900-01-01,000546
155,000547.SZ,航天发展,1993-11-30,1900-01-01,000547
156,000548.SZ,湖南投资,1993-12-20,1900-01-01,000548
157,000549.SZ,S湘火炬,1993-12-20,2007-04-27,000549
158,000550.SZ,江铃汽车,1993-12-01,1900-01-01,000550
159,000551.SZ,创元科技,1994-01-06,1900-01-01,000551
160,000552.SZ,靖远煤电,1994-01-06,1900-01-01,000552
161,000553.SZ,安道麦A,1993-12-03,1900-01-01,000553
162,000554.SZ,泰山石油,1993-12-15,1900-01-01,000554
163,000555.SZ,神州信息,1994-04-08,1900-01-01,000555
164,000556.SZ,PT南洋,1994-05-25,2002-05-29,000556
165,000557.SZ,西部创业,1994-06-17,1900-01-01,000557
166,000558.SZ,莱茵体育,1994-05-09,1900-01-01,000558
167,000559.SZ,万向钱潮,1994-01-10,1900-01-01,000559
168,000560.SZ,我爱我家,1994-02-02,1900-01-01,000560
169,000561.SZ,烽火电子,1994-05-09,1900-01-01,000561
170,000562.SZ,宏源证券,1994-02-02,2015-01-26,000562
171,000563.SZ,陕国投A,1994-01-10,1900-01-01,000563
172,000564.SZ,*ST大集,1994-01-10,1900-01-01,000564
173,000565.SZ,渝三峡A,1994-04-08,1900-01-01,000565
174,000566.SZ,海南海药,1994-05-25,1900-01-01,000566
175,000567.SZ,海德股份,1994-05-25,1900-01-01,000567
176,000568.SZ,泸州老窖,1994-05-09,1900-01-01,000568
177,000569.SZ,长城股份,1994-04-25,2009-05-06,000569
178,000570.SZ,苏常柴A,1994-07-01,1900-01-01,000570
179,000571.SZ,ST大洲,1994-05-25,1900-01-01,000571
180,000572.SZ,海马汽车,1994-08-08,1900-01-01,000572
181,000573.SZ,粤宏远A,1994-08-15,1900-01-01,000573
182,000576.SZ,甘化科工,1994-09-07,1900-01-01,000576
183,000578.SZ,盐湖集团,1995-03-03,2011-03-22,000578
184,000581.SZ,威孚高科,1998-09-24,1900-01-01,000581
185,000582.SZ,北部湾港,1995-11-02,1900-01-01,000582
186,000583.SZ,S*ST托普,1995-11-01,2007-05-21,000583
187,000584.SZ,哈工智能,1995-11-28,1900-01-01,000584
188,000585.SZ,*ST东电,1995-12-13,1900-01-01,000585
189,000586.SZ,汇源通信,1995-12-20,1900-01-01,000586
190,000587.SZ,*ST金洲,1996-04-25,1900-01-01,000587
191,000588.SZ,PT粤金曼,1996-01-23,2001-06-15,000588
192,000589.SZ,贵州轮胎,1996-03-08,1900-01-01,000589
193,000590.SZ,启迪药业,1996-01-19,1900-01-01,000590
194,000591.SZ,太阳能,1996-02-08,1900-01-01,000591
195,000592.SZ,平潭发展,1996-03-27,1900-01-01,000592
196,000593.SZ,德龙汇能,1996-03-12,1900-01-01,000593
197,000594.SZ,国恒退,1996-03-20,2015-07-13,000594
198,000595.SZ,宝塔实业,1996-04-19,1900-01-01,000595
199,000596.SZ,古井贡酒,1996-09-27,1900-01-01,000596
200,000597.SZ,东北制药,1996-05-23,1900-01-01,000597
201,000598.SZ,兴蓉环境,1996-05-29,1900-01-01,000598
202,000599.SZ,青岛双星,1996-04-30,1900-01-01,000599
203,000600.SZ,建投能源,1996-06-06,1900-01-01,000600
204,000601.SZ,韶能股份,1996-08-30,1900-01-01,000601
205,000602.SZ,金马集团,1996-08-19,2013-08-14,000602
206,000603.SZ,盛达资源,1996-08-23,1900-01-01,000603
207,000605.SZ,渤海股份,1996-09-13,1900-01-01,000605
208,000606.SZ,ST顺利,1996-10-04,1900-01-01,000606
209,000607.SZ,华媒控股,1996-08-30,1900-01-01,000607
210,000608.SZ,阳光股份,1996-09-19,1900-01-01,000608
211,000609.SZ,*ST中迪,1996-10-10,1900-01-01,000609
212,000610.SZ,西安旅游,1996-09-26,1900-01-01,000610
213,000611.SZ,*ST天首,1996-10-08,1900-01-01,000611
214,000612.SZ,焦作万方,1996-09-26,1900-01-01,000612
215,000613.SZ,*ST东海A,1997-01-28,1900-01-01,000613
216,000615.SZ,奥园美谷,1996-10-16,1900-01-01,000615
217,000616.SZ,ST海投,1996-11-08,1900-01-01,000616
218,000617.SZ,中油资本,1996-10-22,1900-01-01,000617
219,000618.SZ,吉林化工,1996-10-15,2006-02-20,000618
220,000619.SZ,海螺型材,1996-10-23,1900-01-01,000619
221,000620.SZ,新华联,1996-10-29,1900-01-01,000620
222,000621.SZ,*ST比特,1996-11-05,2004-09-27,000621
223,000622.SZ,恒立实业,1996-11-07,1900-01-01,000622
224,000623.SZ,吉林敖东,1996-10-28,1900-01-01,000623
225,000625.SZ,长安汽车,1997-06-10,1900-01-01,000625
226,000626.SZ,远大控股,1996-11-28,1900-01-01,000626
227,000627.SZ,天茂集团,1996-11-12,1900-01-01,000627
228,000628.SZ,高新发展,1996-11-18,1900-01-01,000628
229,000629.SZ,攀钢钒钛,1996-11-15,1900-01-01,000629
230,000630.SZ,铜陵有色,1996-11-20,1900-01-01,000630
231,000631.SZ,顺发恒业,1996-11-22,1900-01-01,000631
232,000632.SZ,三木集团,1996-11-21,1900-01-01,000632
233,000633.SZ,合金投资,1996-11-12,1900-01-01,000633
234,000635.SZ,英力特,1996-11-20,1900-01-01,000635
235,000636.SZ,风华高科,1996-11-29,1900-01-01,000636
236,000637.SZ,茂化实华,1996-11-14,1900-01-01,000637
237,000638.SZ,*ST万方,1996-11-26,1900-01-01,000638
238,000639.SZ,西王食品,1996-11-26,1900-01-01,000639
239,000650.SZ,仁和药业,1996-12-10,1900-01-01,000650
240,000651.SZ,格力电器,1996-11-18,1900-01-01,000651
241,000652.SZ,泰达股份,1996-11-28,1900-01-01,000652
242,000653.SZ,ST九州,1996-11-26,2002-09-13,000653
243,000655.SZ,金岭矿业,1996-11-28,1900-01-01,000655
244,000656.SZ,金科股份,1996-11-28,1900-01-01,000656
245,000657.SZ,中钨高新,1996-12-05,1900-01-01,000657
246,000658.SZ,ST海洋,1996-12-18,2002-09-20,000658
247,000659.SZ,珠海中富,1996-12-03,1900-01-01,000659
248,000660.SZ,*ST南华,1996-12-09,2004-09-13,000660
249,000661.SZ,长春高新,1996-12-18,1900-01-01,000661
250,000662.SZ,天夏退,1996-12-16,2021-04-12,000662
251,000663.SZ,永安林业,1996-12-06,1900-01-01,000663
252,000665.SZ,湖北广电,1996-12-10,1900-01-01,000665
253,000666.SZ,经纬纺机,1996-12-10,1900-01-01,000666
254,000667.SZ,美好置业,1996-12-05,1900-01-01,000667
255,000668.SZ,荣丰控股,1996-12-10,1900-01-01,000668
256,000669.SZ,ST金鸿,1996-12-10,1900-01-01,000669
257,000670.SZ,*ST盈方,1996-12-17,1900-01-01,000670
258,000671.SZ,阳光城,1996-12-18,1900-01-01,000671
259,000672.SZ,上峰水泥,1996-12-18,1900-01-01,000672
260,000673.SZ,*ST当代,1997-01-24,1900-01-01,000673
261,000675.SZ,ST银山,1996-12-26,2002-08-20,000675
262,000676.SZ,智度股份,1996-12-24,1900-01-01,000676
263,000677.SZ,恒天海龙,1996-12-26,1900-01-01,000677
264,000678.SZ,襄阳轴承,1997-01-06,1900-01-01,000678
265,000679.SZ,大连友谊,1997-01-24,1900-01-01,000679
266,000680.SZ,山推股份,1997-01-22,1900-01-01,000680
267,000681.SZ,视觉中国,1997-01-21,1900-01-01,000681
268,000682.SZ,东方电子,1997-01-21,1900-01-01,000682
269,000683.SZ,远兴能源,1997-01-31,1900-01-01,000683
270,000685.SZ,中山公用,1997-01-23,1900-01-01,000685
271,000686.SZ,东北证券,1997-02-27,1900-01-01,000686
272,000687.SZ,*ST华讯,1997-02-21,1900-01-01,000687
273,000688.SZ,国城矿业,1997-01-20,1900-01-01,000688
274,000689.SZ,ST宏业,1996-12-31,2002-09-05,000689
275,000690.SZ,宝新能源,1997-01-28,1900-01-01,000690
276,000691.SZ,亚太实业,1997-02-28,1900-01-01,000691
277,000692.SZ,惠天热电,1997-02-27,1900-01-01,000692
278,000693.SZ,华泽退,1997-02-26,2019-07-09,000693
279,000695.SZ,滨海能源,1997-02-18,1900-01-01,000695
280,000697.SZ,炼石航空,1997-03-25,1900-01-01,000697
281,000698.SZ,沈阳化工,1997-02-20,1900-01-01,000698
282,000699.SZ,S*ST佳纸,1997-03-10,2007-04-04,000699
283,000700.SZ,模塑科技,1997-02-28,1900-01-01,000700
284,000701.SZ,厦门信达,1997-02-26,1900-01-01,000701
285,000702.SZ,正虹科技,1997-03-18,1900-01-01,000702
286,000703.SZ,恒逸石化,1997-03-28,1900-01-01,000703
287,000705.SZ,浙江震元,1997-04-10,1900-01-01,000705
288,000707.SZ,双环科技,1997-04-15,1900-01-01,000707
