,date,name,SecuCode,SecuCategory,ListedState
83,2021-12-27, 维亚生,,,
123,2020-02-12,万孚生物,300482,1.0,1.0
1989,2020-03-01,万盛股份,603010,1.0,1.0
1955,2022-01-17,三人行,605168,1.0,1.0
139,2021-12-15,三棵树,603737,1.0,1.0
68,2021-11-24,三角轮胎,601163,1.0,1.0
138,2021-12-17,东方雨虹,002271,1.0,1.0
200,2020-04-10,中京电子,002579,1.0,1.0
256,2020-02-13,中国卫通,601698,1.0,1.0
130,2020-02-28,中国海防,600764,1.0,1.0
115,2020-04-09,中国生物制药,,,
257,2021-11-30,中国神华,601088,1.0,1.0
284,2022-01-20,中国银行,601988,1.0,1.0
1929,2021-06-22,中国飞鹤,,,
1978,2020-03-19,中天科技,600522,1.0,1.0
237,2021-10-15,中孚信息,300659,1.0,1.0
1966,2020-04-30,中恒电气,002364,1.0,1.0
1991,2020-02-27,中恒电气,002364,1.0,1.0
18,2020-02-13,中文传媒,600373,1.0,1.0
181,2022-03-21,中晶技术,832198,1.0,1.0
1949,2022-02-09,中科三环,000970,1.0,1.0
235,2022-01-13,中科软,603927,1.0,1.0
1974,2020-03-30,中简科技,300777,1.0,1.0
1971,2020-04-14,中顺洁柔,002511,1.0,1.0
184,2022-01-12,中颖电子,300327,1.0,1.0
1976,2020-03-20,中鼎股份,000887,1.0,1.0
242,2021-01-13,久远银海,002777,1.0,1.0
240,2021-04-29,久远银海,002777,1.0,1.0
110,2021-09-13,九强生物,300406,1.0,1.0
4886,2020-02-18,云南铜业,000878,1.0,1.0
1946,2022-02-24,五粮液,000858,1.0,1.0
140,2021-12-15,亚士创能,603378,1.0,1.0
232,2022-01-18,京北方,002987,1.0,1.0
76,2022-01-05,仙琚制药,002332,1.0,1.0
77,2021-12-29,以岭药业,002603,1.0,1.0
137,2021-12-17,伟星股份,002003,1.0,1.0
1968,2020-04-24,信捷电气,603416,1.0,1.0
17,2021-09-24,信隆健康,002105,1.0,1.0
116,2020-03-17,健友股份,603707,1.0,1.0
72,2022-01-10,健友股份,603707,1.0,1.0
1963,2020-05-26,元祖股份,603886,1.0,1.0
1981,2020-03-16,兄弟科技,002562,1.0,1.0
4884,2020-02-19,光弘科技,300735,1.0,1.0
1920,2022-01-13,克明食品,002661,1.0,1.0
220,2020-07-07,克来机电,603960,1.0,1.0
1979,2020-03-18,克来机电,603960,1.0,1.0
141,2021-12-14,公元股份,002641,1.0,1.0
258,2021-11-29,兰花科创,600123,1.0,1.0
1998,2020-02-19,兴业银行,601166,1.0,1.0
615,2022-01-19,农业银行,601288,1.0,1.0
124,2020-02-11,凯普生物,300639,1.0,1.0
241,2021-04-23,创业慧康,300451,1.0,1.0
1965,2020-05-06,利安隆,300596,1.0,1.0
1993,2020-02-20,包钢股份,600010,1.0,1.0
4904,2020-02-18,北京银行,601169,1.0,1.0
1942,2022-02-25,北方稀土,600111,1.0,1.0
150,2022-03-17,华友钴业,603799,1.0,1.0
2,2022-01-14,华安鑫创,300928,1.0,1.0
199,2020-11-05,华正新材,603186,1.0,1.0
82,2021-12-27,华润三九,000999,1.0,1.0
1927,2021-10-28,华润啤酒,,,
1931,2021-06-10,华润啤酒,,,
1919,2022-01-20,华润啤酒,,,
1957,2021-12-29,华能国际,600011,1.0,1.0
196,2020-11-09,南亚新材,688519,1.0,1.0
190,2021-03-08,南亚新材,688519,1.0,1.0
43,2020-02-06,南方传媒,601900,1.0,1.0
92,2021-12-24,博腾股份,300363,1.0,1.0
1982,2020-03-16,卧龙电驱,,,
222,2021-09-28,台华新材,603055,1.0,1.0
73,2022-01-07,司太立,603520,1.0,1.0
111,2021-02-01,司太立,603520,1.0,1.0
112,2020-12-20,司太立,603520,1.0,1.0
113,2020-07-28,司太立,603520,1.0,1.0
75,2022-01-06,同和药业,300636,1.0,1.0
126,2022-03-16,周大生,002867,1.0,1.0
1922,2022-01-05,周黑鸭,,,
69,2022-03-01,四环医药,,,
81,2021-12-28,固生堂,,,
1952,2022-01-18,圆信永丰,,,
188,2021-03-16,圣邦股份,300661,1.0,1.0
143,2021-12-14,坚朗五金,002791,1.0,1.0
226,2022-01-21,天阳科技,300872,1.0,1.0
187,2021-04-28,奥士康,002913,1.0,1.0
74,2022-01-07,奥锐特,605116,1.0,1.0
233,2022-01-14,宇信科技,300674,1.0,1.0
121,2020-02-13,安图生物,603658,1.0,1.0
128,2020-05-28,安达维尔,300719,1.0,1.0
224,2022-01-25,宝兰德,688058,1.0,1.0
1941,2022-03-16,富国,,,
652,2022-01-11,工商银行,601398,1.0,1.0
263,2021-11-25,平煤股份,601666,1.0,1.0
238,2021-08-24,广联达,002410,1.0,1.0
4901,2020-02-18,张家港行,002839,1.0,1.0
1990,2020-02-28,当升科技,300073,1.0,1.0
1926,2021-11-21,恒顺醋业,600305,1.0,1.0
1930,2021-06-11,恒顺醋业,600305,1.0,1.0
221,2020-02-17,恩捷股份,002812,1.0,1.0
1977,2020-03-19,恩捷股份,002812,1.0,1.0
219,2021-02-01,恩捷股份,002812,1.0,1.0
100,2021-12-23,成都先导,688222,1.0,1.0
1964,2020-05-07,拓普集团,601689,1.0,1.0
107,2021-12-20,拱东医疗,605369,1.0,1.0
202,2020-02-07,捷捷微电,300623,1.0,1.0
197,2020-11-09,斯达半导,603290,1.0,1.0
127,2020-06-29,新劲刚,300629,1.0,1.0
1959,2020-06-19,新源动力,,,
165,2021-07-27,新疆众和,600888,1.0,1.0
96,2021-12-23,方达控股,,,
1984,2020-03-12,日月股份,603218,1.0,1.0
180,2021-02-04,日月股份,603218,1.0,1.0
1923,2021-12-28,日辰股份,603755,1.0,1.0
1933,2020-11-02,日辰股份,603755,1.0,1.0
136,2021-12-15,星帅尔,002860,1.0,1.0
91,2021-12-24,昭衍新药,603127,1.0,1.0
1970,2020-04-14,晨光文具,,,
1932,2021-03-02,晨光生物,300138,1.0,1.0
1921,2022-01-05,晨光生物,300138,1.0,1.0
228,2022-01-20,普元信息,688118,1.0,1.0
71,2022-01-10,普洛药业,000739,1.0,1.0
131,2022-03-09,景嘉微,300474,1.0,1.0
1980,2020-03-17,景旺电子,603228,1.0,1.0
201,2020-03-17,景旺电子,603228,1.0,1.0
186,2021-07-08,景旺电子,603228,1.0,1.0
194,2020-12-09,景旺电子,603228,1.0,1.0
185,2021-12-31,晶盛机电,300316,1.0,1.0
10,2021-12-03,晶赛科技,871981,1.0,1.0
4,2021-12-30,智新电子,837212,1.0,1.0
172,2022-03-16,有研新材,600206,1.0,1.0
176,2021-09-17,杉杉股份,600884,1.0,1.0
4885,2020-02-19,林洋能源,601222,1.0,1.0
203,2021-09-14,格林美,002340,1.0,1.0
1947,2022-02-23,梦百合,603313,1.0,1.0
1987,2020-03-01,正泰电器,601877,1.0,1.0
1953,2022-01-18,汇丰晋信,,,
706,2021-11-04,江苏银行,600919,1.0,1.0
103,2021-12-21,泰坦科技,688133,1.0,1.0
125,2020-02-04,泰格医药,300347,1.0,1.0
106,2021-12-21,洁特生物,688026,1.0,1.0
7,2021-12-15,流金岁月,834021,1.0,1.0
85,2021-12-27,济川药业,600566,1.0,1.0
1973,2020-04-03,海油工程,600583,1.0,1.0
46,2021-12-21,润邦股份,002483,1.0,1.0
193,2021-01-11,深南电路,002916,1.0,1.0
44,2021-12-23,港华燃气,,,
162,2021-09-10,湖南黄金,002155,1.0,1.0
1986,2020-03-06,爱旭股份,600732,1.0,1.0
1975,2020-03-29,牛栏山,,,
146,2021-12-07,玉马遮阳,300993,1.0,1.0
1934,2020-02-07,珠江啤酒,002461,1.0,1.0
1956,2021-12-30,百龙创园,605016,1.0,1.0
1972,2020-04-14,盈趣科技,002925,1.0,1.0
1958,2021-10-20,盘京投资,,,
158,2022-03-17,盛和资源,600392,1.0,1.0
132,2022-01-06,盾安环境,002011,1.0,1.0
1994,2020-02-20,石大胜华,603026,1.0,1.0
229,2022-01-20,神州信息,000555,1.0,1.0
218,2021-09-07,福斯特,603806,1.0,1.0
66,2021-09-22,福能股份,600483,1.0,1.0
179,2021-04-07,科士达,002518,1.0,1.0
144,2021-12-13,科顺股份,300737,1.0,1.0
129,2020-04-28,红相股份,300427,1.0,1.0
1983,2020-03-13,经纬辉开,300120,1.0,1.0
1928,2021-07-01,绝味食品,603517,1.0,1.0
1924,2021-12-27,绝味食品,603517,1.0,1.0
1967,2020-04-27,绝味食品,603517,1.0,1.0
